,seed,backend,dt,neuron_type,n_type,N,min_max_rate,max_max_rate,tau,tau_control,dimensions,base_theta,effective_theta,within_gain_noise_std,between_gain_noise_std,input_noise_std,task_type,full_output,trial_duration,prestim,rt,estimate,control
19452,8111,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.0,0.005,0.8,prospective_sensory,False,0.7071067811865476,0.0,,0.6504392634327709,1.4203536865923008
19453,3779,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,0.8,0.01,0.8,prospective_sensory,False,1.0,0.0,,0.6242485967903926,0.9777709969414187
19454,19667,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.0,0.005,0.8,prospective_sensory,False,4.0,0.0,,0.6204379332439662,0.24846329456076055
19455,13591,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.0,0.005,0.4,prospective_sensory,False,4.0,0.0,,0.6393320522760506,0.25710569478499445
19456,11673,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.0,0.005,0.0,prospective_sensory,False,0.25,0.0,,0.6125923144280868,3.9978334812443665
19457,16017,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.8,0.0,0.0,prospective_sensory,False,4.0,0.0,,0.6052952169823524,0.25
19458,23254,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.8,0.0,0.4,prospective_sensory,False,2.0,0.0,,0.6485336303083593,0.5
19459,21137,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.4,0.01,0.8,prospective_sensory,False,4.0,0.0,,0.6214074864776945,0.24393778225524893
19460,15884,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.8,0.0,0.8,prospective_sensory,False,0.7071067811865476,0.0,,0.654576190993479,1.414213562373095
19461,19784,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.0,0.01,0.8,prospective_sensory,False,0.7071067811865476,0.0,,0.6146770194480582,1.4223117399847625
19462,16487,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.8284271247461903,0.8,0.005,0.8,prospective_sensory,False,2.8284271247461903,0.0,,0.647860278049196,0.3599049652766627
19463,2432,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.0,0.0,0.8,prospective_sensory,False,0.25,0.0,,0.5826505807680397,4.0
19464,16615,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.0,0.005,0.4,prospective_sensory,False,0.7071067811865476,0.0,,0.6232746108816658,1.40281054539277
19465,2880,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.8284271247461903,0.0,0.01,0.0,prospective_sensory,False,2.8284271247461903,0.0,,0.619724989312659,0.3450103888483432
